term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
IL-12-dependent_up-regulation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	236.0	-0.0006509213571171957	0.0005	0.0	-0.0002509284794403044
IL-12-induced_activation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	192.0	-0.0005295631379940158	0.0005	0.0	-0.0002509284794403044
IL-12-induced_gene_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	152.0	-0.00041923748424621543	0.0005	0.0005	-0.0002509284794403044
IL-12-induced_phosphorylation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	223.0	-0.0006150655196494048	0.0005	0.0005	-0.0002509284794403044
IL-12-inducible_gene_lex	G#DNA_family_or_group	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	236.0	-0.0006509213571171957	0.0005	0.0005	-0.0002509284794403044
IL-12-mediated_activation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	192.0	-0.0005295631379940158	0.0005	0.0	-0.0002509284794403044
IL-12-nonresponsive_Th_cell_lex	G#cell_line	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	223.0	-0.0006150655196494048	0.0005	0.0005	-0.0002509284794403044
IL-12R_beta_2_chain_lex	G#protein_subunit	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	109.0	-0.0003006374064651318	0.0005	0.0005	-0.0002509284794403044
IL-12R_beta_2_expression_lex	G#other_name	other	1	2	7.600902459542082	12.107806350720098	311.07403557203764	2.0	386.0	-0.0005323212793374443	0.0005	0.0005	0.6928962520805051
IL-12R_beta_2_lex	G#protein_molecule	amino_acid	1	2	7.600902459542082	12.107806350720098	311.07403557203764	2.0	386.0	-0.0005323212793374443	0.0005	0.0005	0.6928962520805051
