term	sem	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
haemorrhages_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	147.0	-0.0005171576732838634	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
haemorrhagic		3	5	6.214608098422191	10.948157426960055	162.3499877611977	1.6666666666666667	127.33333333333333	-0.0009076644878042162	0.0	0.0	0.5096307412252035
haemorrhagic_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	285.0	-0.0010026526318757112	0.002	0.0013333333333333	-0.00037109537055890485
hag		1	4	7.313220387090301	11.171300978274266	inf	4.0	1224.0	-0.0010765322994878979	0.0	0.0	1.385923265749332
hair		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	267.0	-0.0009393272024940114	0.0	0.0	-0.00037109537055890485
hal_lex	chemical	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	149.0	-0.0005241938321046691	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
half		19	22	4.368781407923861	9.46655288603584	24.383106258647143	1.1578947368421053	276.10526315789474	-0.015447886689700208	0.0	0.0	0.13891432288762573
halflife		4	6	5.926926025970411	10.765835870166102	119.7612518554738	1.5	360.25	-0.0035954771571122812	0.0	0.0	0.4038638519998745
halfmaximum		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	263.0	-0.0009252548848547315	0.0	0.0	-0.00037109537055890485
halfnormal		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	164.0	-0.0005769650232558821	0.0	0.0	-0.00037109537055890485
halfrelaxation		1	1	7.313220387090301	12.557595339394156	0.7029095298048936	1.0	336.0	-0.00118207468179099	0.0	0.0	-0.00037109537055890485
halftime		1	1	7.313220387090301	12.557595339394156	0.7029095298048936	1.0	380.0	-0.0013368701758349477	0.0	0.0	-0.00037109537055890485
halide		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	302.0	-0.0010624599818470637	0.0	0.0	-0.00037109537055890485
hallmark		3	3	6.214608098422191	11.458983050726047	0.6738944919002972	1.0	233.0	-0.0024591375076518096	0.0	0.0	-0.0011948825407888108
hallmarks		1	1	7.313220387090301	12.557595339394156	0.7029095298048734	1.0	149.0	-0.000524193832104447	0.0	0.0	-0.00037109537055890485
hallucinations_lex	disease	7	15	5.367310238034988	9.849545138291946	inf	2.142857142857143	426.1428571428571	-0.005713360961985048	0.004	0.0046666666666666	0.759322961958663
hallucinatory_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	180.0	-0.0006332542938172203	0.0006666666666666	0.0	-0.00037109537055890485
hallucinosis_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	92.0	-0.0003236633057294158	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
halogenated		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	410.0	-0.000721206279069464	0.0	0.0	0.6927760851893865
halogenated_hydroxyquinolines_lex	chemical	1	2	7.313220387090301	11.864448158834211	234.21759540318092	2.0	402.0	-0.0007071339614286298	0.0006666666666666	0.0006666666666666	0.6927760851893865
haloperidol_lex	chemical	35	115	3.757872325600888	7.812663211030906	inf	3.2857142857142856	706.5142857142857	-0.023968675020934804	0.022	0.022	1.1753481462651587
halothane_hepatitis_lex	disease	2	2	6.620073206530356	11.864448158834211	0.6882992011353585	1.0	222.5	-0.0015655453374913142	0.0013333333333333	0.0013333333333333	-0.0007863968983841119
halothane_lex	chemical	11	27	4.915325114291931	9.261758473389827	inf	2.4545454545454546	505.0909090909091	-0.007986040260902105	0.0053333333333333	0.0073333333333333	0.8935034423363586
halts		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	302.0	-0.0010624599818476188	0.0	0.0	-0.00037109537055890485
halving		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	234.0	-0.0008232305819604324	0.0	0.0	-0.00037109537055890485
hamartoma		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	142.0	-0.0002497836381171181	0.0	0.0	0.6927760851893865
hamartoma_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	98.0	-0.0003447717821898344	0.0013333333333333	0.0013333333333333	-0.00037109537055890485
hampered		1	1	7.313220387090301	12.557595339394156	0.7029095298048734	1.0	309.0	-0.0010870865377180516	0.0	0.0	-0.00037109537055890485
hampshire		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	560.0	-0.000985062234826195	0.0	0.0	0.6927760851893865
hampshires		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	560.0	-0.000985062234826195	0.0	0.0	0.6927760851893865
hamster		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	234.0	-0.00041161529098043825	0.0	0.0	0.6927760851893865
hamsters		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	117.0	-0.00041161529098043825	0.0	0.0	-0.00037109537055890485
hand		18	18	4.422848629194137	9.667223581497991	0.4817351760654729	1.0	213.77777777777777	-0.0135375695700225	0.0	0.0	-0.007282005657470947
handfoot_syndrome_lex	disease	4	6	5.926926025970411	10.765835870166102	233.21560169780494	1.5	412.75	-0.003901550065788073	0.0013333333333333	0.002	0.4038638519998745
handful		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	86.0	-0.0003025548292684421	0.0	0.0	-0.00037109537055890485
handicapped		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	256.0	-0.0009006283289840766	0.0	0.0	-0.00037109537055890485
handling		4	5	5.926926025970411	10.948157426960055	50.41881945107674	1.25	270.5	-0.0028390900839425637	0.0	0.0	0.2215422952059214
handlinginduced		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	624.0	-0.0010976407759477613	0.0	0.0	0.6927760851893865
hands		2	2	6.620073206530356	11.864448158834211	0.6882992011353518	1.0	140.0	-0.0009850622348266391	0.0	0.0	-0.0007863968983841119
hannover		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	258.0	-0.000907664487803661	0.0	0.0	-0.00037109537055890485
hanwistar		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	239.0	-0.0008408209790113919	0.0	0.0	-0.00037109537055890485
haplotypes		1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	248.0	-0.0008724836937028524	0.0	0.0	-0.00037109537055890485
haplotypewise		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	276.0	-0.0009709899171855829	0.0	0.0	-0.00037109537055890485
happens		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	215.0	-0.0007563870731696065	0.0	0.0	-0.00037109537055890485
happiness		2	4	6.620073206530356	11.171300978274266	233.71643243293727	2.0	387.0	-0.0013614967317060467	0.0	0.0	0.6923607836615613
haptoglobin		1	4	7.313220387090301	11.171300978274266	inf	4.0	812.0	-0.0007141701202493245	0.0	0.0	1.385923265749332
hard		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	158.0	-0.0005558565467955745	0.0	0.0	-0.00037109537055890485
harderian		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	117.0	-0.0004116152909816595	0.0	0.0	-0.00037109537055890485
harm		3	4	6.214608098422191	11.171300978274266	73.97787727412738	1.3333333333333333	310.0	-0.0022550889018677633	0.0	0.0	0.28648718991099287
harmful		4	4	5.926926025970411	11.171300978274266	0.6596943358034559	1.0	197.5	-0.0027792827339715442	0.0	0.0	-0.0016012561082892063
harmless		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	211.0	-0.0007423147555291054	0.0	0.0	-0.00037109537055890485
harms		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	372.0	-0.0013087255405538345	0.0	0.0	-0.00037109537055890485
harvested		4	4	5.926926025970411	11.171300978274266	0.6596943358034559	1.0	268.0	-0.0037713811276165465	0.0	0.0	-0.0016012561082892063
has		314	393	1.563827401182048	6.583785727524895	18.206318286540764	1.2515923566878981	253.7547770700637	-0.22099871238293667	0.0	0.0	0.08441292925449773
have		392	514	1.341958547299839	6.315372073938991	36.25427771872302	1.3112244897959184	279.8673469387755	-0.28491869718483365	0.0	0.0	0.09107846780440632
having		19	20	4.368781407923861	9.561863065840166	4.636994202173706	1.0526315789473684	214.78947368421052	-0.013565714205302615	0.0	0.0	0.04360414308330007
hay_fever_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	269.0	-0.0009463633613151501	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
